GENART_DESC;GENARTNR;TYPENR;BSK_POS;RATIO (%);MEYLE;TRUCKTEC AUTOMOTIVE;AIC;VAICO;MAXGEAR;TCMATIC;ZF;FEBI BILSTEIN;HENGST FILTER;SWAG
Teilesatz, Automatikgetriebe-?lwechsel;4921;106275;13;0,0292;3;0;2;2;0;3;2;1;1;1
Teilesatz, Automatikgetriebe-?lwechsel;4921;15722;12;0,027;5;0;8;7;0;4;2;1;1;1
Teilesatz, Automatikgetriebe-?lwechsel;4921;106420;7;0,0157;3;0;2;2;0;3;2;1;1;1
Teilesatz, Automatikgetriebe-?lwechsel;4921;19698;5;0,0112;3;0;3;3;0;3;2;1;0;0
Teilesatz, Automatikgetriebe-?lwechsel;4921;18082;5;0,0112;3;0;7;5;0;6;2;2;1;1
Teilesatz, Automatikgetriebe-?lwechsel;4921;30005;13;0,0292;3;0;2;3;0;3;2;1;2;1
Teilesatz, Automatikgetriebe-?lwechsel;4921;100931;2;0,0045;4;0;3;5;0;6;2;2;1;1
Teilesatz, Automatikgetriebe-?lwechsel;4921;142233;1;0,0022;3;0;2;10;0;9;2;1;0;0
Teilesatz, Automatikgetriebe-?lwechsel;4921;18044;1;0,0022;6;0;0;2;0;3;2;1;0;0
Teilesatz, Automatikgetriebe-?lwechsel;4921;140981;1;0,0022;0;0;0;0;0;1;2;2;0;0
Teilesatz, Automatikgetriebe-?lwechsel;4921;19056;14;0,0315;7;0;11;6;0;8;3;2;0;2
Teilesatz, Automatikgetriebe-?lwechsel;4921;59679;128;0,2877;6;0;7;11;0;9;4;2;1;1
Teilesatz, Automatikgetriebe-?lwechsel;4921;136779;3;0,0067;2;0;2;3;0;3;2;1;1;0
Teilesatz, Automatikgetriebe-?lwechsel;4921;17307;1;0,0022;0;0;2;0;0;0;0;0;0;0
Teilesatz, Automatikgetriebe-?lwechsel;4921;106231;13;0,0292;5;0;2;4;0;2;0;0;1;0
Teilesatz, Automatikgetriebe-?lwechsel;4921;143518;10;0,0225;3;0;2;10;0;9;2;1;0;0
Teilesatz, Automatikgetriebe-?lwechsel;4921;30374;12;0,027;2;0;2;2;0;6;0;0;0;0
Teilesatz, Automatikgetriebe-?lwechsel;4921;113450;47;0,1056;3;0;2;2;0;3;3;1;1;1
Teilesatz, Automatikgetriebe-?lwechsel;4921;6270;2;0,0045;0;0;3;4;0;6;0;0;0;0
Teilesatz, Automatikgetriebe-?lwechsel;4921;115178;2;0,0045;2;0;0;4;0;2;0;0;1;0
Teilesatz, Automatikgetriebe-?lwechsel;4921;132935;2;0,0045;2;0;0;0;0;0;0;0;0;0
Teilesatz, Automatikgetriebe-?lwechsel;4921;7928;2;0,0045;3;0;7;9;0;3;0;1;3;1
Teilesatz, Automatikgetriebe-?lwechsel;4921;22940;3;0,0067;3;0;7;5;0;6;4;1;1;1
Teilesatz, Automatikgetriebe-?lwechsel;4921;138741;1;0,0022;3;0;3;3;0;3;6;1;1;0
Teilesatz, Automatikgetriebe-?lwechsel;4921;143491;2;0,0045;0;0;0;3;0;3;0;0;0;0
Teilesatz, Automatikgetriebe-?lwechsel;4921;115164;6;0,0135;6;0;0;4;0;2;0;0;1;0
Teilesatz, Automatikgetriebe-?lwechsel;4921;134048;18;0,0405;0;0;0;4;0;6;0;1;0;0
Teilesatz, Automatikgetriebe-?lwechsel;4921;126007;49;0,1101;0;0;2;3;0;3;4;0;0;0
Teilesatz, Automatikgetriebe-?lwechsel;4921;17353;2;0,0045;3;0;0;6;0;6;0;2;0;2
Teilesatz, Automatikgetriebe-?lwechsel;4921;23387;2;0,0045;2;0;0;3;0;3;0;0;0;0
Teilesatz, Automatikgetriebe-?lwechsel;4921;128179;9;0,0202;4;0;2;3;0;3;2;2;1;1
Teilesatz, Automatikgetriebe-?lwechsel;4921;119945;1;0,0022;0;0;0;2;0;3;0;0;0;0
Teilesatz, Automatikgetriebe-?lwechsel;4921;17224;4;0,009;6;1;3;3;0;3;2;0;1;0
Teilesatz, Automatikgetriebe-?lwechsel;4921;114608;2;0,0045;0;0;0;3;0;3;0;0;0;0
Teilesatz, Automatikgetriebe-?lwechsel;4921;11888;11;0,0247;3;0;2;2;0;3;3;0;1;0
Teilesatz, Automatikgetriebe-?lwechsel;4921;140122;36;0,0809;3;0;2;6;0;6;2;1;0;0
Teilesatz, Automatikgetriebe-?lwechsel;4921;146112;5;0,0112;6;0;1;3;0;6;2;0;1;0
Teilesatz, Automatikgetriebe-?lwechsel;4921;112383;1;0,0022;5;0;2;7;0;5;0;0;0;0
Teilesatz, Automatikgetriebe-?lwechsel;4921;133682;1;0,0022;0;0;0;2;0;1;0;0;0;0
Teilesatz, Automatikgetriebe-?lwechsel;4921;100788;1;0,0022;1;0;6;8;0;9;2;1;1;1
Teilesatz, Automatikgetriebe-?lwechsel;4921;33768;2;0,0045;3;1;2;2;0;3;3;1;1;1
Teilesatz, Automatikgetriebe-?lwechsel;4921;114344;1;0,0022;3;0;3;6;0;3;2;1;2;1
Teilesatz, Automatikgetriebe-?lwechsel;4921;131408;3;0,0067;2;0;2;3;0;3;2;1;1;0
Teilesatz, Automatikgetriebe-?lwechsel;4921;518;1;0,0022;3;0;0;6;0;9;0;0;0;0
Teilesatz, Automatikgetriebe-?lwechsel;4921;19719;5;0,0112;7;0;11;6;0;8;3;2;0;2
Teilesatz, Automatikgetriebe-?lwechsel;4921;126184;1;0,0022;3;0;3;7;0;7;0;0;2;0
Teilesatz, Automatikgetriebe-?lwechsel;4921;26018;8;0,018;12;0;14;7;0;8;5;3;1;3
Teilesatz, Automatikgetriebe-?lwechsel;4921;117850;3;0,0067;3;0;0;3;0;4;0;0;0;0
Teilesatz, Automatikgetriebe-?lwechsel;4921;112233;2;0,0045;9;1;6;9;0;10;5;4;1;2
Teilesatz, Automatikgetriebe-?lwechsel;4921;139648;1;0,0022;3;0;4;6;0;5;0;0;2;0
Teilesatz, Automatikgetriebe-?lwechsel;4921;134555;6;0,0135;3;0;2;3;0;3;2;1;1;1
Teilesatz, Automatikgetriebe-?lwechsel;4921;17820;6;0,0135;2;0;1;5;0;6;0;0;0;0
Teilesatz, Automatikgetriebe-?lwechsel;4921;135693;6;0,0135;0;0;0;5;0;1;0;0;0;0
Teilesatz, Automatikgetriebe-?lwechsel;4921;107644;3;0,0067;9;1;2;3;0;3;5;3;1;2
Teilesatz, Automatikgetriebe-?lwechsel;4921;117846;2;0,0045;3;0;0;3;0;3;2;0;0;0
Teilesatz, Automatikgetriebe-?lwechsel;4921;19346;4;0,009;3;0;7;3;0;4;3;2;0;2
Teilesatz, Automatikgetriebe-?lwechsel;4921;33338;1;0,0022;3;0;1;2;0;3;2;0;0;0
Teilesatz, Automatikgetriebe-?lwechsel;4921;108616;10;0,0225;6;0;7;5;0;6;4;2;2;1
Teilesatz, Automatikgetriebe-?lwechsel;4921;143258;14;0,0315;3;0;0;2;0;2;2;1;1;0
Teilesatz, Automatikgetriebe-?lwechsel;4921;56775;2;0,0045;1;0;2;4;0;3;3;1;1;1
Teilesatz, Automatikgetriebe-?lwechsel;4921;100043;3;0,0067;3;0;3;9;0;7;4;1;2;1
Teilesatz, Automatikgetriebe-?lwechsel;4921;31739;2;0,0045;0;0;0;2;0;3;0;0;0;0
Teilesatz, Automatikgetriebe-?lwechsel;4921;18701;4;0,009;5;0;9;7;0;4;2;1;1;1
Teilesatz, Automatikgetriebe-?lwechsel;4921;133936;8;0,018;2;0;2;6;0;6;2;2;1;0
Teilesatz, Automatikgetriebe-?lwechsel;4921;118078;2;0,0045;3;0;2;2;0;3;3;1;1;1
Teilesatz, Automatikgetriebe-?lwechsel;4921;32797;2;0,0045;3;0;5;2;0;3;2;2;1;1
Teilesatz, Automatikgetriebe-?lwechsel;4921;141860;50;0,1124;3;0;2;7;0;3;2;1;0;0
Teilesatz, Automatikgetriebe-?lwechsel;4921;59047;4;0,009;7;0;4;3;0;4;3;2;0;2
Teilesatz, Automatikgetriebe-?lwechsel;4921;33306;2;0,0045;3;0;2;3;0;3;2;1;0;0
Teilesatz, Automatikgetriebe-?lwechsel;4921;115201;9;0,0202;0;0;0;4;0;6;0;0;0;0
Teilesatz, Automatikgetriebe-?lwechsel;4921;957;3;0,0067;8;0;6;7;0;13;2;1;1;1
Teilesatz, Automatikgetriebe-?lwechsel;4921;109396;7;0,0157;3;0;1;3;0;3;2;1;0;0
Teilesatz, Automatikgetriebe-?lwechsel;4921;12173;17;0,0382;3;0;2;3;0;3;2;1;0;0
Teilesatz, Automatikgetriebe-?lwechsel;4921;145526;2;0,0045;3;0;0;2;0;3;0;0;0;0
Teilesatz, Automatikgetriebe-?lwechsel;4921;28161;1;0,0022;5;0;4;4;0;4;2;1;1;1
Teilesatz, Automatikgetriebe-?lwechsel;4921;112955;3;0,0067;0;0;5;2;0;3;0;0;0;0
Teilesatz, Automatikgetriebe-?lwechsel;4921;17176;10;0,0225;3;0;0;6;0;3;0;2;0;2
Teilesatz, Automatikgetriebe-?lwechsel;4921;9639;1;0,0022;3;0;0;3;0;3;0;0;0;0
Teilesatz, Automatikgetriebe-?lwechsel;4921;30367;3;0,0067;2;0;2;2;0;6;0;0;0;0
Teilesatz, Automatikgetriebe-?lwechsel;4921;130839;6;0,0135;0;0;0;4;0;6;0;0;0;0
Teilesatz, Automatikgetriebe-?lwechsel;4921;34937;1;0,0022;3;0;1;2;0;3;2;1;1;1
Teilesatz, Automatikgetriebe-?lwechsel;4921;19921;1;0,0022;4;1;5;6;0;6;2;1;2;1
Teilesatz, Automatikgetriebe-?lwechsel;4921;135178;7;0,0157;3;0;5;7;0;7;0;0;2;0
Teilesatz, Automatikgetriebe-?lwechsel;4921;23429;4;0,009;6;1;2;5;0;6;2;1;2;1
Teilesatz, Automatikgetriebe-?lwechsel;4921;18961;5;0,0112;7;0;15;3;0;4;3;2;0;2
Teilesatz, Automatikgetriebe-?lwechsel;4921;119878;11;0,0247;3;0;2;2;0;3;3;0;1;0
Teilesatz, Automatikgetriebe-?lwechsel;4921;113451;38;0,0854;3;0;2;2;0;3;3;1;1;1
Teilesatz, Automatikgetriebe-?lwechsel;4921;31072;1;0,0022;1;0;2;2;0;3;2;1;1;1
Teilesatz, Automatikgetriebe-?lwechsel;4921;59038;13;0,0292;7;0;4;3;0;4;3;2;0;2
Teilesatz, Automatikgetriebe-?lwechsel;4921;32264;18;0,0405;6;0;5;2;0;3;2;1;1;1
Teilesatz, Automatikgetriebe-?lwechsel;4921;31317;2;0,0045;3;0;2;4;0;2;0;0;1;0
Teilesatz, Automatikgetriebe-?lwechsel;4921;26787;9;0,0202;3;0;2;3;0;3;2;1;0;0
Teilesatz, Automatikgetriebe-?lwechsel;4921;136001;1;0,0022;6;1;2;3;0;6;3;1;1;0
Teilesatz, Automatikgetriebe-?lwechsel;4921;130301;4;0,009;0;0;0;3;0;4;0;0;0;0
Teilesatz, Automatikgetriebe-?lwechsel;4921;705;2;0,0045;6;0;0;6;0;9;0;0;0;0
Teilesatz, Automatikgetriebe-?lwechsel;4921;11807;3;0,0067;2;0;0;0;0;4;0;0;0;0
Teilesatz, Automatikgetriebe-?lwechsel;4921;31017;1;0,0022;0;0;0;3;0;3;0;0;0;0
Teilesatz, Automatikgetriebe-?lwechsel;4921;19061;1;0,0022;2;0;0;4;0;7;0;1;1;1
Teilesatz, Automatikgetriebe-?lwechsel;4921;18483;1;0,0022;0;0;0;0;0;0;0;0;0;0
Teilesatz, Automatikgetriebe-?lwechsel;4921;129618;1;0,0022;0;0;2;3;0;3;2;0;1;0
Teilesatz, Automatikgetriebe-?lwechsel;4921;130642;2;0,0045;3;0;2;2;0;3;2;1;1;1
Teilesatz, Automatikgetriebe-?lwechsel;4921;135343;7;0,0157;6;0;0;7;0;3;0;0;1;0
Teilesatz, Automatikgetriebe-?lwechsel;4921;145012;1;0,0022;3;0;0;10;0;6;2;1;0;0
Teilesatz, Automatikgetriebe-?lwechsel;4921;117576;1;0,0022;0;0;0;4;0;9;0;0;0;0
Teilesatz, Automatikgetriebe-?lwechsel;4921;25476;8;0,018;3;1;2;3;0;3;2;1;1;1
Teilesatz, Automatikgetriebe-?lwechsel;4921;9288;28;0,0629;7;0;6;6;0;8;3;2;0;2
Teilesatz, Automatikgetriebe-?lwechsel;4921;115062;6;0,0135;3;0;2;3;0;3;2;1;0;0
Teilesatz, Automatikgetriebe-?lwechsel;4921;132147;2;0,0045;0;0;0;2;0;3;0;0;0;0
Teilesatz, Automatikgetriebe-?lwechsel;4921;17172;11;0,0247;4;0;3;3;0;5;2;2;1;1
Teilesatz, Automatikgetriebe-?lwechsel;4921;124240;27;0,0607;5;0;2;4;0;2;0;0;1;0
Teilesatz, Automatikgetriebe-?lwechsel;4921;5105;7;0,0157;4;0;0;8;0;9;2;1;0;1
Teilesatz, Automatikgetriebe-?lwechsel;4921;131249;1;0,0022;0;0;0;3;0;0;2;0;0;0
Teilesatz, Automatikgetriebe-?lwechsel;4921;141039;2;0,0045;0;0;0;3;0;2;0;0;0;0
Teilesatz, Automatikgetriebe-?lwechsel;4921;29994;24;0,0539;3;0;5;2;0;6;2;1;1;1
Teilesatz, Automatikgetriebe-?lwechsel;4921;59807;2;0,0045;3;0;2;2;0;3;3;1;1;1
Teilesatz, Automatikgetriebe-?lwechsel;4921;141581;1;0,0022;3;0;4;6;0;5;0;0;2;0
Teilesatz, Automatikgetriebe-?lwechsel;4921;19806;5;0,0112;3;0;4;2;0;3;2;1;1;1
Teilesatz, Automatikgetriebe-?lwechsel;4921;142748;1;0,0022;0;0;0;0;0;6;0;1;1;1
Teilesatz, Automatikgetriebe-?lwechsel;4921;29930;1;0,0022;4;0;2;4;0;9;0;0;0;0
Teilesatz, Automatikgetriebe-?lwechsel;4921;59806;5;0,0112;3;0;2;2;0;3;3;1;1;1
Teilesatz, Automatikgetriebe-?lwechsel;4921;108588;25;0,0562;3;0;4;11;0;12;0;0;1;0
Teilesatz, Automatikgetriebe-?lwechsel;4921;16317;2;0,0045;0;0;0;0;0;0;0;0;0;0
Teilesatz, Automatikgetriebe-?lwechsel;4921;108592;108;0,2428;3;0;5;8;0;9;0;1;3;1
Teilesatz, Automatikgetriebe-?lwechsel;4921;17231;1;0,0022;1;0;2;5;0;9;0;0;0;0
Teilesatz, Automatikgetriebe-?lwechsel;4921;30384;1;0,0022;4;0;0;0;0;6;2;1;2;1
Teilesatz, Automatikgetriebe-?lwechsel;4921;59407;1;0,0022;3;0;2;2;0;3;3;1;1;1
Teilesatz, Automatikgetriebe-?lwechsel;4921;34767;11;0,0247;7;1;5;3;0;6;2;1;1;1
Teilesatz, Automatikgetriebe-?lwechsel;4921;136124;8;0,018;0;0;0;4;0;6;0;1;0;0
Teilesatz, Automatikgetriebe-?lwechsel;4921;126897;1;0,0022;0;0;0;3;0;3;0;0;0;0
Teilesatz, Automatikgetriebe-?lwechsel;4921;132334;74;0,1663;3;0;5;5;0;4;0;0;1;0
Teilesatz, Automatikgetriebe-?lwechsel;4921;106408;12;0,027;3;0;2;2;0;3;3;1;1;1
Teilesatz, Automatikgetriebe-?lwechsel;4921;31496;1;0,0022;7;0;3;3;0;4;3;2;0;2
Teilesatz, Automatikgetriebe-?lwechsel;4921;143838;1;0,0022;3;0;0;0;0;2;2;1;1;0
Teilesatz, Automatikgetriebe-?lwechsel;4921;17970;3;0,0067;6;0;7;5;0;6;2;2;1;1
Teilesatz, Automatikgetriebe-?lwechsel;4921;32088;5;0,0112;0;0;0;2;0;3;0;0;0;0
Teilesatz, Automatikgetriebe-?lwechsel;4921;56026;5;0,0112;3;0;2;3;0;3;2;0;0;0
Teilesatz, Automatikgetriebe-?lwechsel;4921;317;11;0,0247;2;0;2;4;0;2;0;0;0;0
Teilesatz, Automatikgetriebe-?lwechsel;4921;128418;4;0,009;5;0;3;2;0;3;0;0;0;0
Teilesatz, Automatikgetriebe-?lwechsel;4921;138726;2;0,0045;0;0;2;2;0;6;2;0;0;0
Teilesatz, Automatikgetriebe-?lwechsel;4921;23069;1;0,0022;2;0;0;3;0;3;0;0;0;0
Teilesatz, Automatikgetriebe-?lwechsel;4921;31430;16;0,036;3;0;2;3;0;6;2;1;1;1
Teilesatz, Automatikgetriebe-?lwechsel;4921;26753;6;0,0135;5;0;2;4;0;2;0;0;1;0
Teilesatz, Automatikgetriebe-?lwechsel;4921;137668;29;0,0652;0;0;2;3;0;3;0;2;1;1
Teilesatz, Automatikgetriebe-?lwechsel;4921;59638;3;0,0067;5;0;5;5;0;3;0;1;2;1
Teilesatz, Automatikgetriebe-?lwechsel;4921;31965;1;0,0022;3;0;5;2;0;3;2;1;1;1
Teilesatz, Automatikgetriebe-?lwechsel;4921;128294;18;0,0405;5;0;2;4;0;6;2;0;1;0
Teilesatz, Automatikgetriebe-?lwechsel;4921;100708;17;0,0382;3;0;2;2;0;3;3;0;1;0
Teilesatz, Automatikgetriebe-?lwechsel;4921;126164;1;0,0022;0;0;0;0;0;2;0;0;0;0
Teilesatz, Automatikgetriebe-?lwechsel;4921;138273;2;0,0045;2;0;2;2;0;3;5;0;1;0
Teilesatz, Automatikgetriebe-?lwechsel;4921;126896;1;0,0022;0;0;0;3;0;3;0;0;0;0
Teilesatz, Automatikgetriebe-?lwechsel;4921;117082;14;0,0315;3;0;5;9;0;10;0;0;3;0
Teilesatz, Automatikgetriebe-?lwechsel;4921;25488;3;0,0067;3;1;2;6;0;3;2;1;1;1
Teilesatz, Automatikgetriebe-?lwechsel;4921;20893;5;0,0112;2;0;1;5;0;6;0;0;0;0
Teilesatz, Automatikgetriebe-?lwechsel;4921;26569;4;0,009;5;0;6;7;0;4;2;1;1;1
Teilesatz, Automatikgetriebe-?lwechsel;4921;18858;1;0,0022;3;0;0;2;0;4;0;0;0;0
Teilesatz, Automatikgetriebe-?lwechsel;4921;54960;1;0,0022;5;0;3;4;0;4;2;1;1;1
Teilesatz, Automatikgetriebe-?lwechsel;4921;58292;1;0,0022;3;0;2;2;0;3;3;1;1;1
Teilesatz, Automatikgetriebe-?lwechsel;4921;16324;2;0,0045;4;0;2;2;0;6;2;0;0;0
Teilesatz, Automatikgetriebe-?lwechsel;4921;28234;6;0,0135;3;0;4;2;0;3;2;1;1;1
Teilesatz, Automatikgetriebe-?lwechsel;4921;9041;1;0,0022;0;0;0;3;0;0;0;0;0;0
Teilesatz, Automatikgetriebe-?lwechsel;4921;116046;2;0,0045;2;0;3;3;0;3;0;1;1;1
Teilesatz, Automatikgetriebe-?lwechsel;4921;56076;28;0,0629;9;0;11;9;0;11;5;3;1;2
Teilesatz, Automatikgetriebe-?lwechsel;4921;18590;19;0,0427;8;0;4;8;0;6;4;2;1;2
Teilesatz, Automatikgetriebe-?lwechsel;4921;137772;1;0,0022;0;0;0;0;0;3;0;1;1;1
Teilesatz, Automatikgetriebe-?lwechsel;4921;18246;3;0,0067;3;0;3;3;0;3;2;3;1;1
Teilesatz, Automatikgetriebe-?lwechsel;4921;748;2;0,0045;3;0;0;6;0;12;0;0;0;0
Teilesatz, Automatikgetriebe-?lwechsel;4921;19439;2;0,0045;3;0;1;4;0;6;2;1;1;1
Teilesatz, Automatikgetriebe-?lwechsel;4921;145198;15;0,0337;3;0;0;3;0;6;2;1;0;0
Teilesatz, Automatikgetriebe-?lwechsel;4921;32753;1;0,0022;3;0;5;5;0;6;0;0;0;0
Teilesatz, Automatikgetriebe-?lwechsel;4921;137131;1;0,0022;3;0;0;0;0;0;2;1;0;0
Teilesatz, Automatikgetriebe-?lwechsel;4921;17885;4;0,009;7;0;17;10;0;12;3;2;0;2
Teilesatz, Automatikgetriebe-?lwechsel;4921;11459;4;0,009;8;0;13;7;0;4;2;3;1;3
Teilesatz, Automatikgetriebe-?lwechsel;4921;29975;3;0,0067;11;0;5;12;0;9;2;2;2;1
Teilesatz, Automatikgetriebe-?lwechsel;4921;116215;8;0,018;0;0;0;2;0;0;0;0;0;0
Teilesatz, Automatikgetriebe-?lwechsel;4921;143635;11;0,0247;0;0;0;3;0;3;0;1;0;0
Teilesatz, Automatikgetriebe-?lwechsel;4921;17920;6;0,0135;4;0;2;9;0;12;2;2;2;2
Teilesatz, Automatikgetriebe-?lwechsel;4921;9944;9;0,0202;9;0;8;9;0;11;3;2;1;2
Teilesatz, Automatikgetriebe-?lwechsel;4921;34927;2;0,0045;3;0;0;3;0;3;0;0;0;0
Teilesatz, Automatikgetriebe-?lwechsel;4921;132521;1;0,0022;0;0;0;2;0;3;0;0;0;0
Teilesatz, Automatikgetriebe-?lwechsel;4921;126162;5;0,0112;6;0;5;7;0;7;0;0;2;0
Teilesatz, Automatikgetriebe-?lwechsel;4921;57438;5;0,0112;3;0;7;5;0;6;2;1;1;1
Teilesatz, Automatikgetriebe-?lwechsel;4921;100060;31;0,0697;5;0;6;8;0;9;0;0;2;0
Teilesatz, Automatikgetriebe-?lwechsel;4921;57436;2;0,0045;0;0;0;2;0;3;0;0;0;0
Teilesatz, Automatikgetriebe-?lwechsel;4921;100506;22;0,0495;0;0;0;6;0;3;2;0;0;0
Teilesatz, Automatikgetriebe-?lwechsel;4921;58765;13;0,0292;6;0;7;12;0;11;0;1;2;1
Teilesatz, Automatikgetriebe-?lwechsel;4921;11570;2;0,0045;0;0;2;2;0;3;2;0;0;0
Teilesatz, Automatikgetriebe-?lwechsel;4921;2962;1;0,0022;0;1;5;3;0;6;2;1;1;1
Teilesatz, Automatikgetriebe-?lwechsel;4921;19104;5;0,0112;6;1;2;6;0;3;2;1;1;1
Teilesatz, Automatikgetriebe-?lwechsel;4921;10316;5;0,0112;3;1;2;2;0;3;3;1;1;1
Teilesatz, Automatikgetriebe-?lwechsel;4921;128142;2;0,0045;3;0;0;3;0;5;0;0;0;0
Teilesatz, Automatikgetriebe-?lwechsel;4921;142541;3;0,0067;3;0;2;6;0;9;2;1;0;0
Teilesatz, Automatikgetriebe-?lwechsel;4921;116120;2;0,0045;6;1;2;3;0;6;3;3;1;2
Teilesatz, Automatikgetriebe-?lwechsel;4921;30363;2;0,0045;3;0;2;2;0;6;2;1;2;1
Teilesatz, Automatikgetriebe-?lwechsel;4921;33050;2;0,0045;7;0;13;10;0;8;3;2;0;2
Teilesatz, Automatikgetriebe-?lwechsel;4921;133732;2;0,0045;5;0;0;0;0;0;0;0;0;0
Teilesatz, Automatikgetriebe-?lwechsel;4921;135719;1;0,0022;3;0;5;7;0;7;0;0;2;0
Teilesatz, Automatikgetriebe-?lwechsel;4921;141573;5;0,0112;0;0;4;6;0;5;0;0;2;0
Teilesatz, Automatikgetriebe-?lwechsel;4921;127683;4;0,009;0;0;0;3;0;9;0;1;0;0
Teilesatz, Automatikgetriebe-?lwechsel;4921;32108;14;0,0315;3;1;2;2;0;3;3;1;1;1
Teilesatz, Automatikgetriebe-?lwechsel;4921;53264;1;0,0022;9;0;2;6;0;6;2;3;1;2
Teilesatz, Automatikgetriebe-?lwechsel;4921;136578;1;0,0022;2;0;2;3;0;3;2;1;1;0
Teilesatz, Automatikgetriebe-?lwechsel;4921;33053;2;0,0045;3;0;0;3;0;3;0;0;0;0
Teilesatz, Automatikgetriebe-?lwechsel;4921;108612;3;0,0067;5;0;0;4;0;2;0;0;0;0
Teilesatz, Automatikgetriebe-?lwechsel;4921;32784;11;0,0247;4;0;4;6;0;4;0;0;1;0
Teilesatz, Automatikgetriebe-?lwechsel;4921;17810;30;0,0674;1;0;5;2;0;3;2;1;1;1
