GENARTNR;GENARTDESCR;NORMSEARCHWORD;QTY_POS;RATIO (%);ZF;HENGST FILTER;FEBI BILSTEIN;MEYLE;SWAG;TRUCKTEC AUTOMOTIVE;MAXGEAR;TCMATIC;AIC;VAICO
4921;Teilesatz, Automatikgetriebe-?lwechsel;0141350214;10;0,0371;0;0;1;1;1;0;0;1;1;1
4921;Teilesatz, Automatikgetriebe-?lwechsel;0141350214XK;3;0,0111;0;0;1;1;1;0;0;1;0;1
4921;Teilesatz, Automatikgetriebe-?lwechsel;0141350300;141;0,5234;1;0;1;1;0;0;0;1;1;1
4921;Teilesatz, Automatikgetriebe-?lwechsel;0141350305;151;0,5605;1;1;1;1;0;0;0;1;1;1
4921;Teilesatz, Automatikgetriebe-?lwechsel;0141350305MYL;1;0,0037;0;0;0;0;0;0;0;0;0;0
4921;Teilesatz, Automatikgetriebe-?lwechsel;0141350305XK;32;0,1188;0;0;1;1;0;0;0;1;0;1
4921;Teilesatz, Automatikgetriebe-?lwechsel;0141350402;2;0,0074;0;0;0;1;0;0;0;0;0;0
4921;Teilesatz, Automatikgetriebe-?lwechsel;0141350404;2;0,0074;0;0;0;1;0;0;0;1;0;0
4921;Teilesatz, Automatikgetriebe-?lwechsel;0141351201XK;8;0,0297;0;0;1;1;1;0;0;1;0;1
4921;Teilesatz, Automatikgetriebe-?lwechsel;0141351202;58;0,2153;1;0;1;1;1;0;0;1;1;1
4921;Teilesatz, Automatikgetriebe-?lwechsel;0141351202XK;10;0,0371;0;0;1;1;1;0;0;1;0;1
4921;Teilesatz, Automatikgetriebe-?lwechsel;0141351211SK;5;0,0186;0;0;0;1;0;0;0;1;0;1
4921;Teilesatz, Automatikgetriebe-?lwechsel;0141351212;28;0,1039;0;0;0;1;0;0;0;1;1;1
4921;Teilesatz, Automatikgetriebe-?lwechsel;0141351402;66;0,245;0;0;1;1;1;0;0;1;1;1
4921;Teilesatz, Automatikgetriebe-?lwechsel;0141351402XK;9;0,0334;0;0;1;1;1;0;0;1;0;1
4921;Teilesatz, Automatikgetriebe-?lwechsel;0141351404;81;0,3007;0;0;0;1;0;0;0;1;1;1
4921;Teilesatz, Automatikgetriebe-?lwechsel;0141351404MEY;1;0,0037;0;0;0;0;0;0;0;0;0;0
4921;Teilesatz, Automatikgetriebe-?lwechsel;0141351410;28;0,1039;0;0;0;1;0;0;0;1;1;1
4921;Teilesatz, Automatikgetriebe-?lwechsel;0141351600;7;0,026;0;0;0;1;0;0;0;1;0;1
4921;Teilesatz, Automatikgetriebe-?lwechsel;0141351600SK;6;0,0223;0;0;0;1;0;0;0;1;0;1
4921;Teilesatz, Automatikgetriebe-?lwechsel;0141351600XK;3;0,0111;0;0;0;1;0;0;0;0;0;1
4921;Teilesatz, Automatikgetriebe-?lwechsel;0141351700;3;0,0111;0;0;0;1;0;0;0;0;0;1
4921;Teilesatz, Automatikgetriebe-?lwechsel;0141351700SK;2;0,0074;0;0;0;1;0;0;0;0;0;1
4921;Teilesatz, Automatikgetriebe-?lwechsel;0141351700XK;1;0,0037;0;0;0;1;0;0;0;0;0;1
4921;Teilesatz, Automatikgetriebe-?lwechsel;0141360012;1;0,0037;1;0;1;0;0;0;0;0;0;0
4921;Teilesatz, Automatikgetriebe-?lwechsel;0141371005;3;0,0111;0;0;1;0;1;0;0;1;0;1
4921;Teilesatz, Automatikgetriebe-?lwechsel;0141371007;4;0,0148;1;0;1;0;1;0;0;1;1;1
4921;Teilesatz, Automatikgetriebe-?lwechsel;0141371107;5;0,0186;0;0;1;0;1;0;0;0;0;1
4921;Teilesatz, Automatikgetriebe-?lwechsel;0143251000;3;0,0111;1;0;0;0;0;0;0;1;0;1
4921;Teilesatz, Automatikgetriebe-?lwechsel;0152280;1;0,0037;0;0;0;0;0;0;0;0;0;0
4921;Teilesatz, Automatikgetriebe-?lwechsel;0153000371;1;0,0037;0;0;0;0;0;0;0;0;0;0
4921;Teilesatz, Automatikgetriebe-?lwechsel;0153000938;2;0,0074;0;0;0;0;0;0;0;0;0;0
4921;Teilesatz, Automatikgetriebe-?lwechsel;0153500006;1;0,0037;0;0;0;0;0;0;0;0;0;0
4921;Teilesatz, Automatikgetriebe-?lwechsel;0153500067;1;0,0037;0;0;0;0;0;0;0;0;0;0
4921;Teilesatz, Automatikgetriebe-?lwechsel;0153500128;1;0,0037;0;0;0;0;0;0;0;0;0;0
4921;Teilesatz, Automatikgetriebe-?lwechsel;0153500130;2;0,0074;0;0;0;0;0;0;0;0;0;0
4921;Teilesatz, Automatikgetriebe-?lwechsel;0153500225;1;0,0037;0;0;0;0;0;0;0;0;0;0
4921;Teilesatz, Automatikgetriebe-?lwechsel;019171748;1;0,0037;0;0;0;0;0;0;0;0;0;0
4921;Teilesatz, Automatikgetriebe-?lwechsel;019171783;1;0,0037;0;0;0;0;0;0;0;0;0;0
4921;Teilesatz, Automatikgetriebe-?lwechsel;01J301517D;4;0,0148;0;0;0;1;0;0;0;1;0;0
4921;Teilesatz, Automatikgetriebe-?lwechsel;01L321371;1;0,0037;0;0;1;1;0;0;0;1;0;1
4921;Teilesatz, Automatikgetriebe-?lwechsel;01L325429B;8;0,0297;0;0;1;1;0;0;0;1;0;1
4921;Teilesatz, Automatikgetriebe-?lwechsel;01M325429;16;0,0594;0;0;1;1;1;0;0;1;1;1
4921;Teilesatz, Automatikgetriebe-?lwechsel;01N321370;2;0,0074;0;0;0;1;0;0;0;1;0;0
4921;Teilesatz, Automatikgetriebe-?lwechsel;01V321371;1;0,0037;1;1;0;1;0;0;0;1;0;1
4921;Teilesatz, Automatikgetriebe-?lwechsel;01V321379;1;0,0037;1;1;0;0;0;0;0;0;0;0
4921;Teilesatz, Automatikgetriebe-?lwechsel;01V325429;18;0,0668;1;1;1;1;1;0;0;1;0;1
4921;Teilesatz, Automatikgetriebe-?lwechsel;02E305051;3;0,0111;0;0;0;0;0;0;0;0;1;0
4921;Teilesatz, Automatikgetriebe-?lwechsel;02E305051B;10;0,0371;1;1;1;1;1;0;0;0;1;1
4921;Teilesatz, Automatikgetriebe-?lwechsel;02E305051BS1;1;0,0037;0;1;1;0;1;0;0;0;0;0
4921;Teilesatz, Automatikgetriebe-?lwechsel;02E305051C;799;2,9659;1;1;1;1;1;0;0;0;1;1
4921;Teilesatz, Automatikgetriebe-?lwechsel;02E305051D;68;0,2524;0;1;1;1;1;0;0;0;1;1
4921;Teilesatz, Automatikgetriebe-?lwechsel;02E398051;157;0,5828;1;1;1;1;1;0;0;1;1;1
4921;Teilesatz, Automatikgetriebe-?lwechsel;02E398051KIT;1;0,0037;0;0;0;0;0;0;0;0;0;1
4921;Teilesatz, Automatikgetriebe-?lwechsel;0308834077;1;0,0037;0;0;0;0;0;0;0;0;0;0
4921;Teilesatz, Automatikgetriebe-?lwechsel;0350502461;1;0,0037;0;0;0;0;0;0;0;0;0;0
4921;Teilesatz, Automatikgetriebe-?lwechsel;0435171762;1;0,0037;0;0;0;0;0;0;0;0;0;0
4921;Teilesatz, Automatikgetriebe-?lwechsel;0435171772;1;0,0037;0;0;0;0;0;0;0;0;0;0
4921;Teilesatz, Automatikgetriebe-?lwechsel;0435171783;2;0,0074;0;0;0;0;0;0;0;0;0;0
4921;Teilesatz, Automatikgetriebe-?lwechsel;0435171785;4;0,0148;0;0;0;0;0;0;0;0;0;0
4921;Teilesatz, Automatikgetriebe-?lwechsel;0435188362;1;0,0037;0;0;0;0;0;0;0;0;0;0
4921;Teilesatz, Automatikgetriebe-?lwechsel;0435188364;1;0,0037;0;0;0;0;0;0;0;0;0;0
4921;Teilesatz, Automatikgetriebe-?lwechsel;04872;1;0,0037;0;0;0;1;0;0;0;1;0;1
4921;Teilesatz, Automatikgetriebe-?lwechsel;0501216243;14;0,052;1;1;0;0;0;0;0;1;0;0
4921;Teilesatz, Automatikgetriebe-?lwechsel;0501219037;11;0,0408;1;0;0;0;0;0;1;1;0;0
4921;Teilesatz, Automatikgetriebe-?lwechsel;0501220214;8;0,0297;1;0;0;0;0;0;1;0;0;0
4921;Teilesatz, Automatikgetriebe-?lwechsel;0501220297;8;0,0297;1;1;0;0;0;0;0;0;0;0
4921;Teilesatz, Automatikgetriebe-?lwechsel;0501220614;7;0,026;1;1;0;0;0;0;0;0;0;0
4921;Teilesatz, Automatikgetriebe-?lwechsel;0501226590;9;0,0334;1;1;0;0;0;0;0;0;0;0
4921;Teilesatz, Automatikgetriebe-?lwechsel;0551500520;1;0,0037;0;0;0;0;0;0;0;0;0;0
4921;Teilesatz, Automatikgetriebe-?lwechsel;0551501231;1;0,0037;0;0;0;0;0;0;0;0;0;0
4921;Teilesatz, Automatikgetriebe-?lwechsel;0551501268;1;0,0037;0;0;0;0;0;0;0;0;0;0
4921;Teilesatz, Automatikgetriebe-?lwechsel;0551501269;1;0,0037;0;0;0;0;0;0;0;0;0;0
4921;Teilesatz, Automatikgetriebe-?lwechsel;0703304;1;0,0037;0;0;0;1;0;0;0;1;0;1
4921;Teilesatz, Automatikgetriebe-?lwechsel;0825026;1;0,0037;0;0;1;1;1;0;0;0;0;1
4921;Teilesatz, Automatikgetriebe-?lwechsel;0825064;1;0,0037;0;0;1;1;1;1;0;0;1;1
4921;Teilesatz, Automatikgetriebe-?lwechsel;0825065;3;0,0111;0;0;1;1;1;1;0;0;1;1
4921;Teilesatz, Automatikgetriebe-?lwechsel;09094823;1;0,0037;0;0;0;0;0;0;0;0;0;0
4921;Teilesatz, Automatikgetriebe-?lwechsel;096321370;11;0,0408;0;0;1;1;1;0;0;1;0;1
4921;Teilesatz, Automatikgetriebe-?lwechsel;097370;5;0,0186;0;0;1;0;1;0;0;0;0;1
4921;Teilesatz, Automatikgetriebe-?lwechsel;098321370;3;0,0111;0;0;0;1;0;0;0;1;0;0
4921;Teilesatz, Automatikgetriebe-?lwechsel;09D321181B;1;0,0037;1;0;0;0;0;0;0;0;0;0
4921;Teilesatz, Automatikgetriebe-?lwechsel;09D321371;4;0,0148;1;0;0;1;0;0;0;1;1;1
4921;Teilesatz, Automatikgetriebe-?lwechsel;09D325429;1;0,0037;0;0;0;1;0;0;0;1;1;1
4921;Teilesatz, Automatikgetriebe-?lwechsel;09D325435;37;0,1373;1;1;1;1;1;0;0;1;1;1
4921;Teilesatz, Automatikgetriebe-?lwechsel;09D325435S2;1;0,0037;0;0;1;0;1;0;0;0;0;0
4921;Teilesatz, Automatikgetriebe-?lwechsel;09E321371;1;0,0037;0;0;0;1;0;0;0;1;0;1
4921;Teilesatz, Automatikgetriebe-?lwechsel;09E325429;21;0,078;1;0;0;1;0;0;0;1;0;1
4921;Teilesatz, Automatikgetriebe-?lwechsel;09G321370;1;0,0037;1;0;0;1;0;0;0;1;1;1
4921;Teilesatz, Automatikgetriebe-?lwechsel;09G325429;19;0,0705;1;0;1;1;0;0;0;1;1;1
4921;Teilesatz, Automatikgetriebe-?lwechsel;09G325429A;19;0,0705;1;0;1;1;0;0;0;1;1;1
4921;Teilesatz, Automatikgetriebe-?lwechsel;09G325429B;2;0,0074;1;0;0;0;0;0;0;1;0;0
4921;Teilesatz, Automatikgetriebe-?lwechsel;09G325429D;3;0,0111;0;0;0;1;0;0;0;1;0;1
4921;Teilesatz, Automatikgetriebe-?lwechsel;09G325429H;1;0,0037;0;0;0;1;0;0;0;1;0;1
4921;Teilesatz, Automatikgetriebe-?lwechsel;09K321370;9;0,0334;1;0;1;1;0;0;0;1;1;1
4921;Teilesatz, Automatikgetriebe-?lwechsel;09K325429;27;0,1002;1;0;1;1;0;0;0;1;1;1
4921;Teilesatz, Automatikgetriebe-?lwechsel;09L321371;2;0,0074;0;0;0;1;0;0;0;1;0;1
4921;Teilesatz, Automatikgetriebe-?lwechsel;09L321371A;22;0,0817;1;0;0;1;0;0;0;1;0;1
4921;Teilesatz, Automatikgetriebe-?lwechsel;09L325429;103;0,3823;1;1;1;1;1;0;0;1;0;1
4921;Teilesatz, Automatikgetriebe-?lwechsel;09M321370A;1;0,0037;0;0;0;1;0;0;0;0;0;1
4921;Teilesatz, Automatikgetriebe-?lwechsel;09M325429;19;0,0705;1;0;1;1;0;0;0;1;1;1
4921;Teilesatz, Automatikgetriebe-?lwechsel;09P321370;11;0,0408;0;0;0;1;0;0;0;1;0;1
4921;Teilesatz, Automatikgetriebe-?lwechsel;09P325429;2;0,0074;0;0;0;1;0;0;0;1;0;1
4921;Teilesatz, Automatikgetriebe-?lwechsel;09Q325429;8;0,0297;0;0;0;1;0;0;0;1;0;1
4921;Teilesatz, Automatikgetriebe-?lwechsel;0AM325433D;3;0,0111;0;0;0;0;0;0;0;1;0;1
4921;Teilesatz, Automatikgetriebe-?lwechsel;0AM325433E;4;0,0148;0;0;0;0;0;0;0;1;0;1
4921;Teilesatz, Automatikgetriebe-?lwechsel;0AM325433EKIT1;1;0,0037;0;0;0;0;0;0;0;0;0;1
4921;Teilesatz, Automatikgetriebe-?lwechsel;0AW301516H;51;0,1893;1;0;1;1;0;0;0;1;1;1
4921;Teilesatz, Automatikgetriebe-?lwechsel;0B5321371D;1;0,0037;0;0;0;1;0;0;0;1;0;1
4921;Teilesatz, Automatikgetriebe-?lwechsel;0B5321371E;19;0,0705;0;0;0;1;0;0;0;1;0;1
4921;Teilesatz, Automatikgetriebe-?lwechsel;0B5321371F;12;0,0445;0;0;0;1;0;0;0;1;0;1
4921;Teilesatz, Automatikgetriebe-?lwechsel;0B5325240B;3;0,0111;0;0;0;1;0;0;0;0;0;0
4921;Teilesatz, Automatikgetriebe-?lwechsel;0B5325330A;201;0,7461;1;1;1;1;1;0;0;1;0;1
4921;Teilesatz, Automatikgetriebe-?lwechsel;0B5325429E;241;0,8946;0;1;1;1;1;0;0;1;1;1
4921;Teilesatz, Automatikgetriebe-?lwechsel;0B6325429;15;0,0557;1;0;0;1;0;0;0;1;0;1
4921;Teilesatz, Automatikgetriebe-?lwechsel;0B6398747;2;0,0074;1;0;0;0;0;0;0;0;0;0
4921;Teilesatz, Automatikgetriebe-?lwechsel;0BH325159;1;0,0037;0;0;0;0;0;0;0;0;0;0
4921;Teilesatz, Automatikgetriebe-?lwechsel;0BH325183A;3;0,0111;1;0;0;1;0;0;0;1;1;1
4921;Teilesatz, Automatikgetriebe-?lwechsel;0BH325183B;166;0,6162;1;1;1;1;1;0;0;1;1;1
4921;Teilesatz, Automatikgetriebe-?lwechsel;0BH325183C;2;0,0074;1;0;0;1;0;0;0;0;0;0
4921;Teilesatz, Automatikgetriebe-?lwechsel;0BK398009;106;0,3935;1;0;1;1;0;0;0;1;0;1
4921;Teilesatz, Automatikgetriebe-?lwechsel;0BK398009A;144;0,5345;1;0;1;1;0;0;0;1;0;1
4921;Teilesatz, Automatikgetriebe-?lwechsel;0BL398009;23;0,0854;1;0;0;1;0;0;0;1;0;0
4921;Teilesatz, Automatikgetriebe-?lwechsel;0BW398009;1;0,0037;1;0;0;1;0;0;0;1;0;1
4921;Teilesatz, Automatikgetriebe-?lwechsel;0C8321181;2;0,0074;1;0;0;0;0;0;0;0;0;0
4921;Teilesatz, Automatikgetriebe-?lwechsel;0C8321371;15;0,0557;1;0;0;1;0;0;0;1;0;1
4921;Teilesatz, Automatikgetriebe-?lwechsel;0C8325435;94;0,3489;1;0;1;1;0;0;0;1;1;1
4921;Teilesatz, Automatikgetriebe-?lwechsel;0C8325443;2;0,0074;1;0;0;0;0;0;0;0;0;0
4921;Teilesatz, Automatikgetriebe-?lwechsel;0CK321371;20;0,0742;0;1;0;1;0;0;0;1;1;1
4921;Teilesatz, Automatikgetriebe-?lwechsel;0CK321371A;11;0,0408;0;0;1;1;0;0;0;1;1;1
4921;Teilesatz, Automatikgetriebe-?lwechsel;0CK321439;31;0,1151;0;0;0;0;0;0;0;0;1;0
4921;Teilesatz, Automatikgetriebe-?lwechsel;0CK321439A;249;0,9243;0;0;0;0;0;0;0;0;1;1
4921;Teilesatz, Automatikgetriebe-?lwechsel;0CK325121D;99;0,3675;0;1;1;1;0;0;0;1;1;1
4921;Teilesatz, Automatikgetriebe-?lwechsel;0CK325149D;28;0,1039;0;1;1;1;0;0;0;1;1;1
4921;Teilesatz, Automatikgetriebe-?lwechsel;0CK325421A;22;0,0817;0;1;1;1;0;0;0;1;1;1
4921;Teilesatz, Automatikgetriebe-?lwechsel;0CM301227;2;0,0074;0;0;0;1;0;0;0;1;0;0
4921;Teilesatz, Automatikgetriebe-?lwechsel;0CM301519;83;0,3081;1;0;0;1;0;0;0;1;0;1
4921;Teilesatz, Automatikgetriebe-?lwechsel;0D5398009;14;0,052;1;1;0;1;0;0;0;1;1;1
4921;Teilesatz, Automatikgetriebe-?lwechsel;0D5398009A;79;0,2932;1;1;0;1;0;0;0;1;0;1
4921;Teilesatz, Automatikgetriebe-?lwechsel;0D5398009B;52;0,193;1;1;0;1;0;0;0;1;0;1
4921;Teilesatz, Automatikgetriebe-?lwechsel;0D5398009C;305;1,1321;1;1;0;1;0;0;0;1;1;1
4921;Teilesatz, Automatikgetriebe-?lwechsel;0D5398010;18;0,0668;0;1;0;0;0;0;0;1;1;1
4921;Teilesatz, Automatikgetriebe-?lwechsel;0D6398359;33;0,1225;1;0;0;0;0;0;0;1;0;1
4921;Teilesatz, Automatikgetriebe-?lwechsel;0D6398359A;2;0,0074;1;0;0;0;0;0;0;1;0;1
4921;Teilesatz, Automatikgetriebe-?lwechsel;0DR301519;2;0,0074;1;1;0;0;0;0;0;1;1;0
4921;Teilesatz, Automatikgetriebe-?lwechsel;0GC325183;248;0,9206;1;0;1;1;0;0;0;1;1;1
4921;Teilesatz, Automatikgetriebe-?lwechsel;0GC325183A;669;2,4833;1;0;1;1;0;0;0;1;1;1
4921;Teilesatz, Automatikgetriebe-?lwechsel;0GC325183AS2;1;0,0037;0;0;1;0;0;0;0;0;0;0
4921;Teilesatz, Automatikgetriebe-?lwechsel;0GC325183D;368;1,366;1;0;0;1;0;0;0;0;0;1
4921;Teilesatz, Automatikgetriebe-?lwechsel;0GC325183KIT2;1;0,0037;0;0;0;0;0;0;0;0;0;1
4921;Teilesatz, Automatikgetriebe-?lwechsel;1001350001;9;0,0334;1;1;1;1;1;0;0;1;0;1
4921;Teilesatz, Automatikgetriebe-?lwechsel;1001350001SK;2;0,0074;1;0;1;1;1;0;0;1;0;1
4921;Teilesatz, Automatikgetriebe-?lwechsel;1001350001XK;2;0,0074;0;0;1;1;1;0;0;1;0;1
4921;Teilesatz, Automatikgetriebe-?lwechsel;1001350002;2;0,0074;1;0;1;1;0;0;0;1;0;1
4921;Teilesatz, Automatikgetriebe-?lwechsel;1001350003;25;0,0928;1;0;1;1;1;0;0;1;0;1
4921;Teilesatz, Automatikgetriebe-?lwechsel;1001350003SK;4;0,0148;1;0;1;1;1;0;0;1;0;1
4921;Teilesatz, Automatikgetriebe-?lwechsel;1001350004SK;1;0,0037;1;0;0;1;0;0;0;1;0;1
4921;Teilesatz, Automatikgetriebe-?lwechsel;1001350005;1;0,0037;1;0;0;1;0;0;0;1;0;1
4921;Teilesatz, Automatikgetriebe-?lwechsel;1001350005SK;1;0,0037;1;0;0;1;0;0;0;1;0;1
4921;Teilesatz, Automatikgetriebe-?lwechsel;1001350012;5;0,0186;0;0;0;1;0;0;0;1;0;1
4921;Teilesatz, Automatikgetriebe-?lwechsel;1001350013;20;0,0742;1;0;1;1;0;0;0;1;0;1
4921;Teilesatz, Automatikgetriebe-?lwechsel;1001350013SK;2;0,0074;0;0;1;1;0;0;0;1;0;1
4921;Teilesatz, Automatikgetriebe-?lwechsel;1001350014;15;0,0557;0;0;1;1;1;0;0;1;0;1
4921;Teilesatz, Automatikgetriebe-?lwechsel;1001350014XK;1;0,0037;0;0;1;1;1;0;0;1;0;1
4921;Teilesatz, Automatikgetriebe-?lwechsel;1001350015SK;3;0,0111;0;0;0;1;0;0;0;1;0;0
4921;Teilesatz, Automatikgetriebe-?lwechsel;1001350016;12;0,0445;1;0;0;1;0;0;0;1;0;1
4921;Teilesatz, Automatikgetriebe-?lwechsel;1001350016SK;1;0,0037;0;0;0;1;0;0;0;1;0;0
4921;Teilesatz, Automatikgetriebe-?lwechsel;1001350100;10;0,0371;1;0;1;1;0;0;0;1;1;1
4921;Teilesatz, Automatikgetriebe-?lwechsel;1001350101;5;0,0186;1;0;1;1;0;0;0;1;1;1
4921;Teilesatz, Automatikgetriebe-?lwechsel;1001350101SK;2;0,0074;0;0;1;1;0;0;0;1;0;0
4921;Teilesatz, Automatikgetriebe-?lwechsel;1001350102;457;1,6964;1;1;1;1;1;0;0;1;1;1
4921;Teilesatz, Automatikgetriebe-?lwechsel;1001350102144;1;0,0037;0;0;0;0;0;0;0;0;0;0
4921;Teilesatz, Automatikgetriebe-?lwechsel;1001350102SK;8;0,0297;0;0;1;1;1;0;0;1;0;1
4921;Teilesatz, Automatikgetriebe-?lwechsel;1001350102XK;16;0,0594;0;0;1;1;1;0;0;1;0;1
4921;Teilesatz, Automatikgetriebe-?lwechsel;1001350103;144;0,5345;1;1;1;1;1;0;0;1;1;1
4921;Teilesatz, Automatikgetriebe-?lwechsel;1001350103SK;5;0,0186;0;0;1;1;1;0;0;1;0;1
4921;Teilesatz, Automatikgetriebe-?lwechsel;1001350103XK;11;0,0408;0;0;1;1;1;0;0;1;1;1
4921;Teilesatz, Automatikgetriebe-?lwechsel;1001350106;11;0,0408;1;0;1;1;0;0;0;1;1;1
4921;Teilesatz, Automatikgetriebe-?lwechsel;1001350106SK;1;0,0037;0;0;1;1;0;0;0;1;0;0
4921;Teilesatz, Automatikgetriebe-?lwechsel;1001350106XK;1;0,0037;0;0;1;1;0;0;0;1;0;0
4921;Teilesatz, Automatikgetriebe-?lwechsel;1001350107;6;0,0223;1;0;1;1;0;0;0;1;1;1
4921;Teilesatz, Automatikgetriebe-?lwechsel;1001350107SK;1;0,0037;0;0;1;1;0;0;0;1;0;0
4921;Teilesatz, Automatikgetriebe-?lwechsel;1001350108;28;0,1039;1;0;1;1;0;0;0;1;1;1
4921;Teilesatz, Automatikgetriebe-?lwechsel;1001350108SK;14;0,052;1;0;1;1;0;0;0;1;0;1
4921;Teilesatz, Automatikgetriebe-?lwechsel;1001350108XK;7;0,026;0;0;1;1;0;0;0;1;0;1
4921;Teilesatz, Automatikgetriebe-?lwechsel;1001350109;55;0,2042;1;0;1;1;0;0;0;1;1;1
4921;Teilesatz, Automatikgetriebe-?lwechsel;1001350109XK;5;0,0186;0;0;1;1;0;0;0;1;1;1
4921;Teilesatz, Automatikgetriebe-?lwechsel;1001350114;174;0,6459;1;0;1;1;1;0;0;1;1;1
4921;Teilesatz, Automatikgetriebe-?lwechsel;1001350114SK;56;0,2079;0;0;1;1;1;0;0;1;0;1
4921;Teilesatz, Automatikgetriebe-?lwechsel;1001350114SKMEY;1;0,0037;0;0;0;0;0;0;0;0;0;0
4921;Teilesatz, Automatikgetriebe-?lwechsel;1001350114XK;4;0,0148;0;0;1;1;1;0;0;1;0;1
4921;Teilesatz, Automatikgetriebe-?lwechsel;1001350115;127;0,4714;0;0;1;1;0;0;0;1;1;1
4921;Teilesatz, Automatikgetriebe-?lwechsel;1001350115SK;38;0,1411;0;0;1;1;0;0;0;1;1;1
4921;Teilesatz, Automatikgetriebe-?lwechsel;1001350115XK;12;0,0445;0;0;1;1;0;0;0;1;1;1
4921;Teilesatz, Automatikgetriebe-?lwechsel;1001350116;552;2,049;1;0;1;1;0;0;0;1;1;1
4921;Teilesatz, Automatikgetriebe-?lwechsel;1001350116MYL;1;0,0037;0;0;0;0;0;0;0;0;0;0
4921;Teilesatz, Automatikgetriebe-?lwechsel;1001350116SK;39;0,1448;0;0;1;1;0;0;0;1;0;1
4921;Teilesatz, Automatikgetriebe-?lwechsel;1001350116XK;8;0,0297;0;0;1;1;0;0;0;1;1;1
4921;Teilesatz, Automatikgetriebe-?lwechsel;1001350117;5;0,0186;0;0;0;1;0;0;0;1;0;1
4921;Teilesatz, Automatikgetriebe-?lwechsel;1001350118;16;0,0594;0;0;0;1;0;0;0;1;0;1
4921;Teilesatz, Automatikgetriebe-?lwechsel;1001350120SK;4;0,0148;0;0;0;1;0;0;0;1;0;0
4921;Teilesatz, Automatikgetriebe-?lwechsel;1001350122;19;0,0705;0;0;0;1;0;0;0;0;0;1
4921;Teilesatz, Automatikgetriebe-?lwechsel;1001350122MYL;2;0,0074;0;0;0;0;0;0;0;0;0;0
4921;Teilesatz, Automatikgetriebe-?lwechsel;1001350122SK;5;0,0186;0;0;0;1;0;0;0;0;0;0
4921;Teilesatz, Automatikgetriebe-?lwechsel;1001350122XK;3;0,0111;0;0;0;1;0;0;0;0;0;0
4921;Teilesatz, Automatikgetriebe-?lwechsel;1001350130;27;0,1002;0;0;0;1;0;0;0;1;1;1
4921;Teilesatz, Automatikgetriebe-?lwechsel;1001350130SK;9;0,0334;0;1;0;1;0;0;0;1;0;1
4921;Teilesatz, Automatikgetriebe-?lwechsel;1001350130XK;2;0,0074;0;0;0;1;0;0;0;1;1;1
4921;Teilesatz, Automatikgetriebe-?lwechsel;1001350200;76;0,2821;0;0;0;1;0;0;0;1;0;1
4921;Teilesatz, Automatikgetriebe-?lwechsel;1001350210;6;0,0223;0;0;0;1;0;0;0;1;0;0
