GENART;LDATE;DLNR;DLNRBEZ;NARTNR;QTY_POS
4921;"2024";-1;"Eigenmarken";"A2122770295";10
4921;"2024";-1;"Eigenmarken";"3571426";22
4921;"2024";-1;"Eigenmarken";"PO0CK325421A";21
4921;"2024";-1;"Eigenmarken";"3571435";18
4921;"2024";-1;"Eigenmarken";"OECB00273";1
4921;"2024";-1;"Eigenmarken";"0CK321439A";247
4921;"2024";-1;"Eigenmarken";"3001351006OUT01";2
4921;"2024";-1;"Eigenmarken";"3571427";26
4921;"2024";-1;"Eigenmarken";"BM24347588725";6
4921;"2024";-1;"Eigenmarken";"PO09L321371A";4
4921;"2024";-1;"Eigenmarken";"POG055529A2";193
4921;"2024";-1;"Eigenmarken";"PO0CM301519";3
4921;"2024";-1;"Eigenmarken";"PO0CK325107F";10
4921;"2024";-1;"Eigenmarken";"KI452284C000";2
4921;"2024";-1;"Eigenmarken";"GVATF004";19
4921;"2024";-1;"Eigenmarken";"CM1051020001OUT01";1
4921;"2024";-1;"Eigenmarken";"3571436";12
4921;"2024";-1;"Eigenmarken";"A2122710080";9
4921;"2024";-1;"Eigenmarken";"PO0CK325149D";16
4921;"2024";-1;"Eigenmarken";"1001350115OUT01";2
4921;"2024";-1;"Eigenmarken";"3571425";44
4921;"2024";-1;"Eigenmarken";"3571438";78
4921;"2024";-1;"Eigenmarken";"PO09D321371";1
4921;"2024";-1;"Eigenmarken";"FO2537407";7
4921;"2024";-1;"Eigenmarken";"OECM00316";71
4921;"2024";-1;"Eigenmarken";"1087298437";11
4921;"2024";-1;"Eigenmarken";"5961308077";2
4921;"2024";-1;"Eigenmarken";"1071298027OUT01";1
4921;"2024";-1;"Eigenmarken";"3571420";90
4921;"2024";-1;"Eigenmarken";"3571422";107
4921;"2024";-1;"Eigenmarken";"PO0B5321371F";8
4921;"2024";-1;"Eigenmarken";"3571423";33
4921;"2024";-1;"Eigenmarken";"3571431";42
4921;"2024";-1;"Eigenmarken";"RE7717300552";7
4921;"2024";-1;"Eigenmarken";"OECB00274";14
4921;"2024";-1;"Eigenmarken";"0CK325149D";4
4921;"2024";-1;"Eigenmarken";"0CK325421A";2
4921;"2024";-1;"Eigenmarken";"3571424";53
4921;"2024";-1;"Eigenmarken";"3571419";123
4921;"2024";-1;"Eigenmarken";"3571421";68
4921;"2024";-1;"Eigenmarken";"PO0B5325429E";22
4921;"2024";-1;"Eigenmarken";"POPAC325060";7
