GENART_DESC;GENARTNR;TYPENR;BSK_POS;RATIO (%);VAICO;ZF;ORIGINAL Sch?ferbarthold;FEBI BILSTEIN;TCMATIC;SWAG;TRUCKTEC AUTOMOTIVE;HENGST FILTER;AIC;MEYLE
Teilesatz, Automatikgetriebe-?lwechsel;4921;15833;1;0,0022;7;2;0;1;4;1;0;1;8;5
Teilesatz, Automatikgetriebe-?lwechsel;4921;142238;7;0,0157;10;2;0;1;9;0;0;0;2;3
Teilesatz, Automatikgetriebe-?lwechsel;4921;18677;5;0,0112;9;2;0;2;9;2;0;2;2;5
Teilesatz, Automatikgetriebe-?lwechsel;4921;52426;20;0,0448;2;0;0;1;3;1;0;1;5;3
Teilesatz, Automatikgetriebe-?lwechsel;4921;100449;63;0,1411;3;2;0;1;3;0;0;0;2;3
Teilesatz, Automatikgetriebe-?lwechsel;4921;133936;22;0,0493;6;2;2;2;6;0;0;1;2;2
Teilesatz, Automatikgetriebe-?lwechsel;4921;59489;33;0,0739;12;2;0;1;9;1;0;2;7;3
Teilesatz, Automatikgetriebe-?lwechsel;4921;11888;17;0,0381;2;3;0;0;3;0;0;1;2;3
Teilesatz, Automatikgetriebe-?lwechsel;4921;17484;16;0,0358;5;2;0;2;5;1;0;1;7;9
Teilesatz, Automatikgetriebe-?lwechsel;4921;108913;10;0,0224;3;2;0;1;3;0;0;0;1;3
Teilesatz, Automatikgetriebe-?lwechsel;4921;32053;5;0,0112;3;2;0;1;6;1;1;1;5;6
Teilesatz, Automatikgetriebe-?lwechsel;4921;357;4;0,009;2;0;0;1;3;1;0;1;5;1
Teilesatz, Automatikgetriebe-?lwechsel;4921;130797;5;0,0112;3;2;1;1;3;0;0;1;2;2
Teilesatz, Automatikgetriebe-?lwechsel;4921;135681;7;0,0157;7;2;0;0;10;0;0;2;5;5
Teilesatz, Automatikgetriebe-?lwechsel;4921;19719;3;0,0067;6;3;0;2;8;2;0;0;11;7
Teilesatz, Automatikgetriebe-?lwechsel;4921;15722;8;0,0179;7;2;0;1;4;1;0;1;8;5
Teilesatz, Automatikgetriebe-?lwechsel;4921;114864;2;0,0045;5;2;0;1;6;1;0;1;7;6
Teilesatz, Automatikgetriebe-?lwechsel;4921;16930;1;0,0022;7;2;0;1;4;1;0;1;8;5
Teilesatz, Automatikgetriebe-?lwechsel;4921;125336;3;0,0067;2;3;0;1;3;1;0;1;2;3
Teilesatz, Automatikgetriebe-?lwechsel;4921;26753;5;0,0112;4;0;0;0;2;0;0;1;2;5
Teilesatz, Automatikgetriebe-?lwechsel;4921;17818;2;0,0045;2;0;0;0;3;0;0;0;0;3
Teilesatz, Automatikgetriebe-?lwechsel;4921;138109;2;0,0045;4;0;0;1;6;0;0;0;0;0
Teilesatz, Automatikgetriebe-?lwechsel;4921;31055;4;0,009;7;3;0;2;4;2;0;0;12;7
Teilesatz, Automatikgetriebe-?lwechsel;4921;132839;1;0,0022;2;0;0;0;9;0;0;0;0;2
Teilesatz, Automatikgetriebe-?lwechsel;4921;32274;14;0,0314;5;2;0;1;6;1;0;1;7;6
Teilesatz, Automatikgetriebe-?lwechsel;4921;100474;13;0,0291;3;2;0;1;3;0;0;0;2;3
Teilesatz, Automatikgetriebe-?lwechsel;4921;18246;2;0,0045;3;2;0;3;3;1;0;1;3;3
Teilesatz, Automatikgetriebe-?lwechsel;4921;58188;3;0,0067;6;2;0;1;6;1;0;1;2;6
Teilesatz, Automatikgetriebe-?lwechsel;4921;113440;4;0,009;2;3;0;0;3;0;0;1;2;3
Teilesatz, Automatikgetriebe-?lwechsel;4921;135323;2;0,0045;4;2;0;1;10;0;0;0;1;3
Teilesatz, Automatikgetriebe-?lwechsel;4921;20118;22;0,0493;5;0;0;1;3;1;0;2;5;3
Teilesatz, Automatikgetriebe-?lwechsel;4921;30374;19;0,0426;2;0;0;0;6;0;0;0;2;2
Teilesatz, Automatikgetriebe-?lwechsel;4921;32108;9;0,0202;2;3;0;1;3;1;1;1;2;3
Teilesatz, Automatikgetriebe-?lwechsel;4921;54951;3;0,0067;7;2;0;1;4;1;0;1;4;5
Teilesatz, Automatikgetriebe-?lwechsel;4921;16564;8;0,0179;7;2;0;1;4;1;0;1;8;5
Teilesatz, Automatikgetriebe-?lwechsel;4921;132321;8;0,0179;7;4;0;0;10;0;0;1;5;5
Teilesatz, Automatikgetriebe-?lwechsel;4921;112236;68;0,1523;9;5;2;4;10;2;1;1;6;9
Teilesatz, Automatikgetriebe-?lwechsel;4921;134237;25;0,056;4;0;0;1;6;0;0;0;0;0
Teilesatz, Automatikgetriebe-?lwechsel;4921;30368;27;0,0605;7;2;0;1;4;1;0;1;9;5
Teilesatz, Automatikgetriebe-?lwechsel;4921;120590;25;0,056;6;2;0;0;9;0;0;2;2;3
Teilesatz, Automatikgetriebe-?lwechsel;4921;58965;15;0,0336;2;2;0;1;3;1;0;1;2;3
Teilesatz, Automatikgetriebe-?lwechsel;4921;12605;3;0,0067;6;0;0;0;3;0;0;0;0;0
Teilesatz, Automatikgetriebe-?lwechsel;4921;100885;5;0,0112;2;3;0;0;3;0;0;1;2;3
Teilesatz, Automatikgetriebe-?lwechsel;4921;137647;3;0,0067;2;3;0;1;3;1;0;1;2;3
Teilesatz, Automatikgetriebe-?lwechsel;4921;15997;12;0,0269;3;0;0;1;3;1;0;2;2;3
Teilesatz, Automatikgetriebe-?lwechsel;4921;18632;24;0,0538;7;3;0;2;8;2;0;0;13;3
Teilesatz, Automatikgetriebe-?lwechsel;4921;10504;3;0,0067;4;2;0;1;4;1;0;1;6;5
Teilesatz, Automatikgetriebe-?lwechsel;4921;142232;2;0,0045;0;0;0;0;1;0;0;0;0;3
Teilesatz, Automatikgetriebe-?lwechsel;4921;31579;6;0,0134;10;5;0;2;12;2;0;0;15;7
Teilesatz, Automatikgetriebe-?lwechsel;4921;14814;10;0,0224;7;2;0;1;4;1;0;1;8;5
Teilesatz, Automatikgetriebe-?lwechsel;4921;139764;1;0,0022;7;0;0;0;6;0;0;0;0;5
Teilesatz, Automatikgetriebe-?lwechsel;4921;133044;1;0,0022;3;0;0;2;4;2;0;0;1;7
Teilesatz, Automatikgetriebe-?lwechsel;4921;775;5;0,0112;6;0;0;0;9;0;0;0;0;3
Teilesatz, Automatikgetriebe-?lwechsel;4921;50895;14;0,0314;5;2;0;2;6;1;0;1;6;4
Teilesatz, Automatikgetriebe-?lwechsel;4921;148214;7;0,0157;3;0;1;1;3;0;0;0;0;0
Teilesatz, Automatikgetriebe-?lwechsel;4921;23403;1;0,0022;6;3;0;2;8;2;0;0;17;7
Teilesatz, Automatikgetriebe-?lwechsel;4921;141153;1;0,0022;2;2;0;0;3;0;0;0;0;0
Teilesatz, Automatikgetriebe-?lwechsel;4921;26616;1;0,0022;5;0;0;0;6;0;0;0;2;2
Teilesatz, Automatikgetriebe-?lwechsel;4921;1098;24;0,0538;8;3;0;1;9;1;1;3;4;3
Teilesatz, Automatikgetriebe-?lwechsel;4921;130976;1;0,0022;3;2;1;1;3;0;0;1;2;2
Teilesatz, Automatikgetriebe-?lwechsel;4921;142441;2;0,0045;7;0;0;0;3;0;0;0;0;3
Teilesatz, Automatikgetriebe-?lwechsel;4921;32956;10;0,0224;10;5;0;3;12;3;0;1;14;12
Teilesatz, Automatikgetriebe-?lwechsel;4921;133652;5;0,0112;7;0;0;0;7;0;0;2;3;3
Teilesatz, Automatikgetriebe-?lwechsel;4921;143479;3;0,0067;0;2;0;2;2;0;0;0;0;0
Teilesatz, Automatikgetriebe-?lwechsel;4921;11718;3;0,0067;8;0;0;1;9;1;0;3;5;3
Teilesatz, Automatikgetriebe-?lwechsel;4921;17174;9;0,0202;7;2;0;3;9;1;0;1;7;7
Teilesatz, Automatikgetriebe-?lwechsel;4921;18410;2;0,0045;9;2;0;2;12;2;0;2;2;5
Teilesatz, Automatikgetriebe-?lwechsel;4921;18463;1;0,0022;4;0;0;0;9;0;0;0;2;0
Teilesatz, Automatikgetriebe-?lwechsel;4921;4041;2;0,0045;4;2;0;1;4;1;0;1;3;5
Teilesatz, Automatikgetriebe-?lwechsel;4921;59407;1;0,0022;2;3;0;1;3;1;0;1;2;3
Teilesatz, Automatikgetriebe-?lwechsel;4921;107513;2;0,0045;3;3;1;3;6;2;1;1;2;6
Teilesatz, Automatikgetriebe-?lwechsel;4921;22940;1;0,0022;5;4;0;1;6;1;0;1;7;3
Teilesatz, Automatikgetriebe-?lwechsel;4921;5301;1;0,0022;0;0;0;1;3;1;0;0;0;3
Teilesatz, Automatikgetriebe-?lwechsel;4921;15721;1;0,0022;7;2;0;1;4;1;0;1;8;5
Teilesatz, Automatikgetriebe-?lwechsel;4921;57348;1;0,0022;4;0;0;0;2;0;0;0;0;2
Teilesatz, Automatikgetriebe-?lwechsel;4921;31586;2;0,0045;2;2;0;2;3;1;0;1;5;3
Teilesatz, Automatikgetriebe-?lwechsel;4921;17813;11;0,0246;14;2;0;2;9;2;1;2;5;12
Teilesatz, Automatikgetriebe-?lwechsel;4921;139765;1;0,0022;10;0;0;0;9;0;0;0;2;3
Teilesatz, Automatikgetriebe-?lwechsel;4921;106490;25;0,056;3;0;0;0;4;0;0;0;0;0
Teilesatz, Automatikgetriebe-?lwechsel;4921;127066;3;0,0067;3;0;0;0;3;0;0;0;0;0
Teilesatz, Automatikgetriebe-?lwechsel;4921;9988;2;0,0045;5;2;0;0;3;0;1;1;3;0
Teilesatz, Automatikgetriebe-?lwechsel;4921;108592;121;0,2711;8;0;0;1;9;1;0;3;5;3
Teilesatz, Automatikgetriebe-?lwechsel;4921;26581;12;0,0269;6;0;0;0;5;0;0;1;5;4
Teilesatz, Automatikgetriebe-?lwechsel;4921;19709;17;0,0381;3;3;0;2;4;2;0;0;11;3
Teilesatz, Automatikgetriebe-?lwechsel;4921;134242;18;0,0403;5;0;0;0;1;0;0;0;0;0
Teilesatz, Automatikgetriebe-?lwechsel;4921;106657;90;0,2016;7;2;0;1;9;1;0;2;9;7
Teilesatz, Automatikgetriebe-?lwechsel;4921;116120;2;0,0045;3;3;1;3;6;2;1;1;2;6
Teilesatz, Automatikgetriebe-?lwechsel;4921;16244;8;0,0179;3;0;0;1;3;1;0;1;1;3
Teilesatz, Automatikgetriebe-?lwechsel;4921;136167;1;0,0022;2;0;0;0;6;0;0;0;1;0
Teilesatz, Automatikgetriebe-?lwechsel;4921;30372;28;0,0627;7;2;0;1;4;1;0;1;9;5
Teilesatz, Automatikgetriebe-?lwechsel;4921;18703;5;0,0112;7;0;0;2;8;2;0;0;13;7
Teilesatz, Automatikgetriebe-?lwechsel;4921;930;8;0,0179;6;0;0;0;13;0;0;0;6;6
Teilesatz, Automatikgetriebe-?lwechsel;4921;132797;11;0,0246;3;0;0;0;4;0;0;0;0;3
Teilesatz, Automatikgetriebe-?lwechsel;4921;108635;1;0,0022;12;2;0;1;10;1;0;2;6;1
Teilesatz, Automatikgetriebe-?lwechsel;4921;127329;13;0,0291;6;2;1;1;3;0;0;1;2;4
Teilesatz, Automatikgetriebe-?lwechsel;4921;122801;12;0,0269;6;2;2;2;3;0;1;1;2;2
Teilesatz, Automatikgetriebe-?lwechsel;4921;122822;8;0,0179;3;2;1;1;3;0;1;1;2;2
Teilesatz, Automatikgetriebe-?lwechsel;4921;18371;1;0,0022;9;2;0;1;12;1;0;1;2;2
Teilesatz, Automatikgetriebe-?lwechsel;4921;71;1;0,0022;2;2;0;1;3;1;0;1;1;3
Teilesatz, Automatikgetriebe-?lwechsel;4921;22695;4;0,009;6;0;0;0;5;0;0;1;5;4
Teilesatz, Automatikgetriebe-?lwechsel;4921;59464;7;0,0157;3;3;0;2;4;2;0;0;4;7
Teilesatz, Automatikgetriebe-?lwechsel;4921;32626;4;0,009;2;0;0;1;3;1;0;1;4;1
Teilesatz, Automatikgetriebe-?lwechsel;4921;32851;1;0,0022;4;0;0;0;6;0;0;0;3;0
Teilesatz, Automatikgetriebe-?lwechsel;4921;28278;2;0,0045;6;0;0;0;4;0;0;1;2;1
Teilesatz, Automatikgetriebe-?lwechsel;4921;133448;1;0,0022;2;0;0;0;3;0;0;0;0;3
Teilesatz, Automatikgetriebe-?lwechsel;4921;128649;1;0,0022;3;2;1;1;3;0;0;1;0;2
Teilesatz, Automatikgetriebe-?lwechsel;4921;30428;2;0,0045;0;0;0;0;4;0;0;0;0;3
Teilesatz, Automatikgetriebe-?lwechsel;4921;33681;1;0,0022;4;0;0;0;2;0;0;1;0;3
Teilesatz, Automatikgetriebe-?lwechsel;4921;100509;1;0,0022;2;1;0;0;3;0;0;0;0;0
Teilesatz, Automatikgetriebe-?lwechsel;4921;7522;5;0,0112;6;3;0;2;4;2;0;0;7;7
Teilesatz, Automatikgetriebe-?lwechsel;4921;145285;4;0,009;7;2;0;1;3;0;0;0;2;0
Teilesatz, Automatikgetriebe-?lwechsel;4921;100933;1;0,0022;2;2;0;0;0;0;0;1;2;0
Teilesatz, Automatikgetriebe-?lwechsel;4921;13874;1;0,0022;6;0;0;2;6;2;0;0;0;3
Teilesatz, Automatikgetriebe-?lwechsel;4921;115678;1;0,0022;2;0;0;0;3;0;0;0;0;0
Teilesatz, Automatikgetriebe-?lwechsel;4921;106458;15;0,0336;2;3;0;1;3;1;0;1;2;3
Teilesatz, Automatikgetriebe-?lwechsel;4921;32609;34;0,0762;4;0;0;0;2;0;0;1;2;2
Teilesatz, Automatikgetriebe-?lwechsel;4921;15267;3;0,0067;8;0;0;2;9;2;0;0;0;3
Teilesatz, Automatikgetriebe-?lwechsel;4921;19479;14;0,0314;6;2;0;2;9;2;0;2;2;4
Teilesatz, Automatikgetriebe-?lwechsel;4921;119767;3;0,0067;2;2;0;1;3;1;0;1;2;1
Teilesatz, Automatikgetriebe-?lwechsel;4921;143433;8;0,0179;2;0;0;0;3;0;0;0;0;0
Teilesatz, Automatikgetriebe-?lwechsel;4921;18062;5;0,0112;0;0;0;0;0;0;0;0;0;2
Teilesatz, Automatikgetriebe-?lwechsel;4921;7923;8;0,0179;9;2;0;1;6;0;0;2;6;2
Teilesatz, Automatikgetriebe-?lwechsel;4921;18518;2;0,0045;7;2;0;1;9;1;0;1;1;9
Teilesatz, Automatikgetriebe-?lwechsel;4921;14680;4;0,009;8;0;0;2;9;2;0;0;0;3
Teilesatz, Automatikgetriebe-?lwechsel;4921;152945;2;0,0045;10;2;0;1;6;0;0;0;0;0
Teilesatz, Automatikgetriebe-?lwechsel;4921;108616;4;0,009;5;4;0;2;6;1;0;2;7;6
Teilesatz, Automatikgetriebe-?lwechsel;4921;32606;2;0,0045;4;0;0;1;2;1;0;2;2;2
Teilesatz, Automatikgetriebe-?lwechsel;4921;119725;9;0,0202;7;0;0;0;6;0;0;2;5;3
Teilesatz, Automatikgetriebe-?lwechsel;4921;139212;1;0,0022;0;0;0;0;0;0;0;0;0;0
Teilesatz, Automatikgetriebe-?lwechsel;4921;18082;2;0,0045;5;2;0;2;6;1;0;1;7;3
Teilesatz, Automatikgetriebe-?lwechsel;4921;10110;21;0,047;6;5;0;3;8;3;0;1;13;12
Teilesatz, Automatikgetriebe-?lwechsel;4921;23188;3;0,0067;6;2;0;2;9;2;0;2;2;4
Teilesatz, Automatikgetriebe-?lwechsel;4921;130301;3;0,0067;3;0;0;0;4;0;0;0;0;0
Teilesatz, Automatikgetriebe-?lwechsel;4921;122808;6;0,0134;3;2;1;1;3;0;1;1;2;2
Teilesatz, Automatikgetriebe-?lwechsel;4921;55581;10;0,0224;3;2;0;1;3;0;0;0;2;3
Teilesatz, Automatikgetriebe-?lwechsel;4921;26644;1;0,0022;9;4;0;1;6;1;0;1;5;6
Teilesatz, Automatikgetriebe-?lwechsel;4921;7928;2;0,0045;9;0;0;1;3;1;0;3;7;3
Teilesatz, Automatikgetriebe-?lwechsel;4921;18669;1;0,0022;5;4;0;2;6;1;0;1;4;3
Teilesatz, Automatikgetriebe-?lwechsel;4921;59677;9;0,0202;11;4;0;1;9;1;0;1;7;6
Teilesatz, Automatikgetriebe-?lwechsel;4921;110023;14;0,0314;2;0;0;0;3;0;0;0;0;0
Teilesatz, Automatikgetriebe-?lwechsel;4921;120130;3;0,0067;3;5;1;3;3;2;0;1;2;9
Teilesatz, Automatikgetriebe-?lwechsel;4921;18044;1;0,0022;2;2;0;1;3;0;0;0;0;6
Teilesatz, Automatikgetriebe-?lwechsel;4921;11388;2;0,0045;6;3;0;2;8;2;0;0;6;7
Teilesatz, Automatikgetriebe-?lwechsel;4921;127681;7;0,0157;3;2;1;1;3;0;0;1;2;2
Teilesatz, Automatikgetriebe-?lwechsel;4921;59013;1;0,0022;3;3;0;2;4;2;0;0;4;7
Teilesatz, Automatikgetriebe-?lwechsel;4921;18727;1;0,0022;2;2;0;3;9;1;0;1;5;6
Teilesatz, Automatikgetriebe-?lwechsel;4921;156864;1;0,0022;7;2;0;1;0;0;0;0;0;0
Teilesatz, Automatikgetriebe-?lwechsel;4921;30373;5;0,0112;2;0;0;0;3;0;0;0;2;0
Teilesatz, Automatikgetriebe-?lwechsel;4921;16657;11;0,0246;7;2;0;1;4;1;0;1;6;5
Teilesatz, Automatikgetriebe-?lwechsel;4921;6021;10;0,0224;2;2;0;1;3;1;0;1;6;3
Teilesatz, Automatikgetriebe-?lwechsel;4921;18359;1;0,0022;5;2;0;2;6;1;0;1;6;1
Teilesatz, Automatikgetriebe-?lwechsel;4921;138873;1;0,0022;4;2;0;0;9;0;0;1;2;2
Teilesatz, Automatikgetriebe-?lwechsel;4921;134309;5;0,0112;3;2;0;2;3;1;0;1;2;3
Teilesatz, Automatikgetriebe-?lwechsel;4921;136519;2;0,0045;2;3;0;1;3;1;0;1;2;3
Teilesatz, Automatikgetriebe-?lwechsel;4921;18042;2;0,0045;3;0;0;0;3;0;0;0;0;0
Teilesatz, Automatikgetriebe-?lwechsel;4921;135177;1;0,0022;7;0;0;0;7;0;0;2;3;3
Teilesatz, Automatikgetriebe-?lwechsel;4921;9600;1;0,0022;7;2;0;3;4;3;0;1;13;8
Teilesatz, Automatikgetriebe-?lwechsel;4921;118497;1;0,0022;2;2;0;1;3;1;0;1;2;1
Teilesatz, Automatikgetriebe-?lwechsel;4921;128651;23;0,0515;7;2;0;1;6;0;0;0;2;3
Teilesatz, Automatikgetriebe-?lwechsel;4921;12473;4;0,009;2;3;0;1;3;1;1;1;2;3
Teilesatz, Automatikgetriebe-?lwechsel;4921;115043;3;0,0067;3;2;0;1;3;0;0;0;1;3
Teilesatz, Automatikgetriebe-?lwechsel;4921;18058;4;0,009;7;2;0;0;4;0;0;1;9;5
Teilesatz, Automatikgetriebe-?lwechsel;4921;116124;5;0,0112;6;3;1;3;7;2;1;1;4;6
Teilesatz, Automatikgetriebe-?lwechsel;4921;130248;6;0,0134;2;2;0;1;3;1;0;1;2;3
Teilesatz, Automatikgetriebe-?lwechsel;4921;4615;2;0,0045;3;2;0;1;6;1;0;1;2;6
Teilesatz, Automatikgetriebe-?lwechsel;4921;137810;1;0,0022;5;0;0;0;1;0;0;0;0;0
Teilesatz, Automatikgetriebe-?lwechsel;4921;15263;1;0,0022;7;2;0;1;4;1;0;1;8;5
Teilesatz, Automatikgetriebe-?lwechsel;4921;31362;3;0,0067;3;2;0;1;3;1;1;1;5;8
Teilesatz, Automatikgetriebe-?lwechsel;4921;17366;3;0,0067;2;2;0;1;3;0;0;0;1;3
Teilesatz, Automatikgetriebe-?lwechsel;4921;57283;16;0,0358;10;2;0;3;8;3;0;1;12;12
Teilesatz, Automatikgetriebe-?lwechsel;4921;7833;1;0,0022;4;2;0;1;10;1;0;1;6;5
Teilesatz, Automatikgetriebe-?lwechsel;4921;139281;1;0,0022;3;2;1;0;3;0;0;0;0;0
Teilesatz, Automatikgetriebe-?lwechsel;4921;23149;1;0,0022;5;0;0;0;6;0;0;0;1;2
Teilesatz, Automatikgetriebe-?lwechsel;4921;16082;4;0,009;5;0;0;0;6;0;0;0;2;2
Teilesatz, Automatikgetriebe-?lwechsel;4921;17897;1;0,0022;11;2;0;2;12;2;0;2;2;4
Teilesatz, Automatikgetriebe-?lwechsel;4921;16613;1;0,0022;3;0;0;0;3;0;0;0;0;2
Teilesatz, Automatikgetriebe-?lwechsel;4921;11716;33;0,0739;13;3;0;1;10;0;0;2;8;3
Teilesatz, Automatikgetriebe-?lwechsel;4921;120606;1;0,0022;4;0;0;0;7;0;0;1;0;5
Teilesatz, Automatikgetriebe-?lwechsel;4921;133867;3;0,0067;4;0;0;0;14;0;0;0;0;5
Teilesatz, Automatikgetriebe-?lwechsel;4921;32630;18;0,0403;4;0;0;0;2;0;0;1;2;0
Teilesatz, Automatikgetriebe-?lwechsel;4921;9816;2;0,0045;6;0;0;0;9;0;0;0;2;0
Teilesatz, Automatikgetriebe-?lwechsel;4921;8256;2;0,0045;2;3;0;1;6;1;1;1;2;3
Teilesatz, Automatikgetriebe-?lwechsel;4921;109270;1;0,0022;4;0;0;0;6;0;0;0;2;4
Teilesatz, Automatikgetriebe-?lwechsel;4921;17817;1;0,0022;3;0;0;0;3;0;0;0;0;3
Teilesatz, Automatikgetriebe-?lwechsel;4921;137008;1;0,0022;6;2;2;2;6;0;0;1;1;2
Teilesatz, Automatikgetriebe-?lwechsel;4921;107878;1;0,0022;3;3;0;2;4;2;0;0;4;7
Teilesatz, Automatikgetriebe-?lwechsel;4921;29946;4;0,009;6;2;0;1;9;1;2;2;7;4
Teilesatz, Automatikgetriebe-?lwechsel;4921;22954;5;0,0112;6;2;0;1;6;1;1;1;2;3
Teilesatz, Automatikgetriebe-?lwechsel;4921;141620;1;0,0022;4;0;0;0;2;0;0;1;2;3
Teilesatz, Automatikgetriebe-?lwechsel;4921;157997;1;0,0022;0;2;0;0;0;0;0;0;0;0
Teilesatz, Automatikgetriebe-?lwechsel;4921;18516;1;0,0022;7;2;0;1;9;1;0;1;1;9
Teilesatz, Automatikgetriebe-?lwechsel;4921;130092;3;0,0067;4;0;0;0;6;0;0;0;0;0
Teilesatz, Automatikgetriebe-?lwechsel;4921;115207;1;0,0022;2;0;0;1;3;1;0;1;4;1
Teilesatz, Automatikgetriebe-?lwechsel;4921;27347;1;0,0022;4;0;0;0;2;0;0;1;0;3
Teilesatz, Automatikgetriebe-?lwechsel;4921;107650;2;0,0045;6;5;1;3;7;2;1;1;6;9
Teilesatz, Automatikgetriebe-?lwechsel;4921;117811;17;0,0381;5;4;0;1;6;1;0;1;7;1
Teilesatz, Automatikgetriebe-?lwechsel;4921;100061;63;0,1411;11;3;0;1;12;1;0;3;5;6
Teilesatz, Automatikgetriebe-?lwechsel;4921;122843;21;0,047;2;3;0;0;3;0;0;1;2;3
Teilesatz, Automatikgetriebe-?lwechsel;4921;18420;13;0,0291;9;2;0;2;9;2;0;2;2;4
Teilesatz, Automatikgetriebe-?lwechsel;4921;117078;10;0,0224;7;0;0;0;9;0;0;2;3;3
Teilesatz, Automatikgetriebe-?lwechsel;4921;112388;16;0,0358;5;2;0;2;6;2;0;2;10;9
Teilesatz, Automatikgetriebe-?lwechsel;4921;29269;24;0,0538;3;3;0;2;4;2;0;0;4;7
Teilesatz, Automatikgetriebe-?lwechsel;4921;114851;11;0,0246;2;2;0;1;3;1;0;1;5;6
Teilesatz, Automatikgetriebe-?lwechsel;4921;59459;14;0,0314;3;3;1;3;3;2;0;1;6;9
Teilesatz, Automatikgetriebe-?lwechsel;4921;142541;5;0,0112;6;2;0;1;9;0;0;0;2;3
Teilesatz, Automatikgetriebe-?lwechsel;4921;119169;2;0,0045;7;3;0;0;10;0;0;2;5;3
Teilesatz, Automatikgetriebe-?lwechsel;4921;17864;25;0,056;7;2;0;1;4;1;0;1;9;5
Teilesatz, Automatikgetriebe-?lwechsel;4921;144761;22;0,0493;5;2;0;1;6;0;0;0;3;3
Teilesatz, Automatikgetriebe-?lwechsel;4921;927;2;0,0045;2;0;0;0;3;0;0;0;0;0
Teilesatz, Automatikgetriebe-?lwechsel;4921;346;5;0,0112;2;2;0;1;3;1;0;1;6;3
Teilesatz, Automatikgetriebe-?lwechsel;4921;31569;6;0,0134;5;2;0;1;6;0;0;1;4;2
Teilesatz, Automatikgetriebe-?lwechsel;4921;131404;3;0,0067;3;5;1;1;3;0;0;1;2;2
Teilesatz, Automatikgetriebe-?lwechsel;4921;23180;8;0,0179;5;4;0;3;9;2;0;2;6;7
Teilesatz, Automatikgetriebe-?lwechsel;4921;56107;16;0,0358;6;3;0;1;6;1;0;2;1;1
Teilesatz, Automatikgetriebe-?lwechsel;4921;7610;14;0,0314;4;2;0;1;4;1;0;1;1;5
Teilesatz, Automatikgetriebe-?lwechsel;4921;32947;6;0,0134;13;7;1;4;15;3;0;2;16;14
Teilesatz, Automatikgetriebe-?lwechsel;4921;59484;2;0,0045;6;5;1;3;7;2;1;1;6;9
Teilesatz, Automatikgetriebe-?lwechsel;4921;58303;6;0,0134;3;2;0;1;3;1;0;1;2;3
Teilesatz, Automatikgetriebe-?lwechsel;4921;28164;3;0,0067;4;2;0;1;4;1;0;1;4;5
Teilesatz, Automatikgetriebe-?lwechsel;4921;54949;1;0,0022;7;2;0;0;4;0;0;1;4;5
Teilesatz, Automatikgetriebe-?lwechsel;4921;31571;3;0,0067;9;5;0;1;6;1;0;2;5;6
Teilesatz, Automatikgetriebe-?lwechsel;4921;33853;1;0,0022;2;0;0;0;3;0;0;0;2;0
Teilesatz, Automatikgetriebe-?lwechsel;4921;112363;5;0,0112;6;5;1;2;7;1;1;1;6;9
Teilesatz, Automatikgetriebe-?lwechsel;4921;56205;1;0,0022;4;0;0;0;2;0;0;1;0;2
Teilesatz, Automatikgetriebe-?lwechsel;4921;58949;5;0,0112;2;2;0;0;3;0;0;1;2;3
